epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2673,1.22301,2.97843,1.55744,0.00488,1,0.25149,0.15808,0.74433,3.38016,1.31234,5.001e-05,5.001e-05,5.001e-05
2,14.5167,1.15962,2.84051,1.57427,0.0044,1,0.35995,0.24071,0.6976,3.36924,1.23308,0.00011438,0.00011438,0.00011438
3,16.8599,1.0657,2.38598,1.3695,0.00446,1,0.43392,0.30248,0.7152,3.27345,1.24678,0.000176109,0.000176109,0.000176109
4,19.0872,0.94693,1.90295,1.32311,0.00436,1,0.37747,0.25394,0.791,3.11511,1.32659,0.000235197,0.000235197,0.000235197
5,21.1751,0.9387,1.6156,1.38349,0.00461,1,0.39009,0.26359,0.82524,3.11696,1.39994,0.000291645,0.000291645,0.000291645
6,23.325,0.8821,1.52153,1.30739,1,0.20884,0.48012,0.35729,0.81706,2.98983,1.341,0.000345452,0.000345452,0.000345452
7,25.4327,0.97553,1.44709,1.34059,1,0.06148,0.47781,0.32055,0.87471,3.08399,1.36841,0.000396619,0.000396619,0.000396619
8,27.5336,0.93725,1.49737,1.39281,1,0.24282,0.45838,0.31374,0.92484,2.93006,1.41951,0.000445146,0.000445146,0.000445146
9,29.6132,0.96444,1.41483,1.38373,1,0.40233,0.50557,0.3277,1.00773,2.43074,1.49904,0.000491032,0.000491032,0.000491032
10,31.6972,0.9066,1.3781,1.31791,0.8394,0.375,0.45111,0.30466,1.09013,2.61974,1.55231,0.000534277,0.000534277,0.000534277
11,33.8,0.97073,1.38889,1.34582,0.89711,0.4375,0.48806,0.32643,1.00313,2.64044,1.4748,0.000574882,0.000574882,0.000574882
12,35.8069,0.83354,1.27606,1.1998,1,0.43683,0.52529,0.33007,1.02254,2.34671,1.66079,0.000612846,0.000612846,0.000612846
13,37.8152,0.94754,1.35338,1.35274,0.86477,0.42189,0.48363,0.27984,1.28027,2.4998,2.07723,0.00064817,0.00064817,0.00064817
14,39.7899,0.91198,1.28189,1.28429,0.89797,0.36611,0.50283,0.31352,1.11112,2.49277,1.77601,0.000680853,0.000680853,0.000680853
15,41.7854,1.02648,1.428,1.3378,0.95766,0.5,0.61775,0.43422,0.91705,2.38717,1.41702,0.000710895,0.000710895,0.000710895
16,43.8683,0.87428,1.22277,1.25473,0.96018,0.5,0.5465,0.3214,1.03084,2.50381,1.55575,0.000738298,0.000738298,0.000738298
17,45.8712,0.93373,1.24897,1.32642,0.93938,0.45348,0.47235,0.2917,1.12406,2.46465,1.65858,0.000763059,0.000763059,0.000763059
18,47.8717,0.86709,1.25632,1.27411,0.45448,0.5625,0.48378,0.30774,1.19578,2.40887,1.83154,0.00078518,0.00078518,0.00078518
